# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3719
# Selected columns: 6 (all)
# Timestamp: Fri, 24-Aug-2018 23:20:29
Gene ID	Gene Name	brain	cerebellum	heart	kidney	liver	testis
ENSMODG00000000351	CFAP221	3.0	0.5	0.2	0.1	0.1	71.0
ENSMODG00000000352	ENSMODG00000000352		0.2	3.0			
ENSMODG00000000353	ENSMODG00000000353				0.1		0.5
ENSMODG00000000354	WDR63	2.0	0.4		0.2	0.2	31.0
ENSMODG00000000355	FUT11	8.0	14.0	6.0	13.0	7.0	10.0
ENSMODG00000000356	ENSMODG00000000356		0.1	0.2	0.1		15.0
ENSMODG00000000357	ENSMODG00000000357	0.1	0.3		0.3		1.0
ENSMODG00000000358	ENSMODG00000000358	0.3	0.5		0.1		1.0
ENSMODG00000000359	FHOD3	1.0	0.9	37.0	6.0	0.1	10.0
ENSMODG00000000361	CHCHD1	127.0	143.0	242.0	208.0	119.0	143.0
ENSMODG00000000363	ANAPC4	8.0	6.0	2.0	2.0	1.0	18.0
ENSMODG00000000364	TNNT2	66.0	16.0	5060.0	12.0		1.0
ENSMODG00000000365	ENSMODG00000000365	2.0	2.0	2.0	6.0	3.0	0.8
ENSMODG00000000367	BCAS2	22.0	21.0	13.0	13.0	12.0	20.0
ENSMODG00000000369	ENSMODG00000000369	583.0	641.0	361.0	704.0	637.0	509.0
ENSMODG00000000370	VSTM5	2.0	0.5	0.2	0.6	0.2	0.1
ENSMODG00000000373	ENSMODG00000000373			0.3	0.5		0.4
ENSMODG00000000374	RBL1	5.0	4.0	3.0	5.0	3.0	28.0
ENSMODG00000000375	ENSMODG00000000375	3.0	4.0	1.0	19.0	222.0	7.0
ENSMODG00000000376	MTA3	29.0	28.0	5.0	21.0	5.0	17.0
ENSMODG00000000377	ENSMODG00000000377	2.0	1.0	2.0	1.0	0.9	9.0
ENSMODG00000000378	MCOLN3	0.6		0.1	0.8	0.1	0.6
ENSMODG00000000380	SCTR	3.0	1.0		31.0	6.0	0.4
ENSMODG00000000382	TMEM37	7.0	4.0		82.0	2.0	2.0
ENSMODG00000000383	ENSMODG00000000383	10.0	16.0	4.0	5.0	3.0	11.0
ENSMODG00000000384	ENSMODG00000000384	68.0	90.0	2.0	9.0	0.8	5.0
ENSMODG00000000386	LAD1		0.1	5.0	48.0	0.9	
ENSMODG00000000387	MOCOS	0.8	0.3	0.4	3.0	3.0	1.0
ENSMODG00000000388	ZCCHC4	7.0	7.0	2.0	5.0	2.0	6.0
ENSMODG00000000390	MCOLN2	0.6	0.3	0.4	14.0	5.0	6.0
ENSMODG00000000391	SMARCA5	33.0	36.0	6.0	8.0	7.0	39.0
ENSMODG00000000392	HAAO	3.0	2.0	0.6	1384.0	1208.0	0.2
ENSMODG00000000393	ENSMODG00000000393	325.0	271.0	140.0	488.0	858.0	242.0
ENSMODG00000000394	ENSMODG00000000394	38.0	55.0	33.0	35.0	31.0	27.0
ENSMODG00000000395	TNNI1	0.7	0.9	4.0			0.4
ENSMODG00000000396	ZSWIM8	110.0	273.0	96.0	111.0	62.0	69.0
ENSMODG00000000397	ENSMODG00000000397		0.2			0.3	0.2
ENSMODG00000000398	ENSMODG00000000398	1.0	0.7	1.0	1.0	1.0	0.2
ENSMODG00000000399	RPRD1A	20.0	19.0	7.0	9.0	4.0	38.0
ENSMODG00000000400	C2orf76	4.0	2.0	1.0	2.0	1.0	2.0
ENSMODG00000000401	LPAR3	0.1		0.2	14.0	1.0	3.0
